_id;nome;cod;casosAcumulado;obitosAcumulado
Rio de Janeiro;Rio de Janeiro;330455;1339044;38292
São Paulo;São Paulo;355030;1182844;45231
Brasília;Brasília;530010;910663;11863
Belo Horizonte;Belo Horizonte;310620;472778;8451
Goiânia;Goiânia;520870;469518;8085
Fortaleza;Fortaleza;230440;410514;11816
Salvador;Salvador;292740;339536;9155
Porto Alegre;Porto Alegre;431490;336942;6714
Manaus;Manaus;130260;318349;9942
Curitiba;Curitiba;410690;308848;8861
Recife;Recife;261160;307772;6811
Uberlândia;Uberlândia;317020;245152;3546
Campinas;Campinas;350950;224669;5492
Campo Grande;Campo Grande;500270;216849;4711
Londrina;Londrina;411370;193088;2741
Joinville;Joinville;420910;192833;2360
Aparecida de Goiânia;Aparecida de Goiânia;520140;183135;2063
João Pessoa;João Pessoa;250750;179604;3300
Florianópolis;Florianópolis;420540;172752;1355
Caxias do Sul;Caxias do Sul;430510;172743;1720
Aracaju;Aracaju;280030;172024;2627
São José do Rio Preto;São José do Rio Preto;354980;164317;3230
Belém;Belém;150140;159062;5471
Natal;Natal;240810;156924;3149
Cuiabá;Cuiabá;510340;154216;3746
Serra;Serra;320500;153023;1805
Vila Velha;Vila Velha;320520;151937;2063
Vitória;Vitória;320530;151168;1463
Maringá;Maringá;411520;149231;1871
Teresina;Teresina;221100;144315;3028
Boa Vista;Boa Vista;140010;141026;1654
São José dos Campos;São José dos Campos;354990;133708;2397
Maceió;Maceió;270430;133439;3230
Porto Velho;Porto Velho;110020;130151;2755
Blumenau;Blumenau;420240;117741;845
São Gonçalo;São Gonçalo;330490;117069;4206
Pelotas;Pelotas;431440;114469;1560
Sorocaba;Sorocaba;355220;112183;3251
Guarulhos;Guarulhos;351880;109907;5630
Ribeirão Preto;Ribeirão Preto;354340;107009;3538
Piracicaba;Piracicaba;353870;106371;1685
Uberaba;Uberaba;317010;106309;1655
Cariacica;Cariacica;320130;103575;1632
Canoas;Canoas;430460;103531;1938
Anápolis;Anápolis;520110;100373;2036
Santo André;Santo André;354780;100298;3569
Macapá;Macapá;160030;99717;1616
Montes Claros;Montes Claros;314330;97908;1096
Ponta Grossa;Ponta Grossa;411990;96659;1614
Niterói;Niterói;330330;91729;3082
Bauru;Bauru;350600;91192;1496
Palmas;Palmas;172100;90903;735
Contagem;Contagem;311860;90281;2234
Rio Branco;Rio Branco;120040;88002;1226
Santos;Santos;354850;87034;2664
Cascavel;Cascavel;410480;86825;1293
Foz do Iguaçu;Foz do Iguaçu;410830;85016;1337
Feira de Santana;Feira de Santana;291080;84726;1219
Santa Maria;Santa Maria;431690;82658;1019
Petrópolis;Petrópolis;330390;80870;1788
São Bernardo do Campo;São Bernardo do Campo;354870;77942;3871
São Luís;São Luís;211130;77852;2762
Chapecó;Chapecó;420420;76126;879
Juiz de Fora;Juiz de Fora;313670;75540;2419
Volta Redonda;Volta Redonda;330630;74875;1506
Passo Fundo;Passo Fundo;431410;74721;831
Jundiaí;Jundiaí;352590;74346;1845
Campina Grande;Campina Grande;250400;70509;1266
São José dos Pinhais;São José dos Pinhais;412550;69911;1226
Luziânia;Luziânia;521250;69697;594
Araraquara;Araraquara;350320;68174;671
Itajaí;Itajaí;420820;67448;903
Rio Verde;Rio Verde;521880;66647;891
Parauapebas;Parauapebas;150553;66552;530
Nova Iguaçu;Nova Iguaçu;330350;66153;2301
Caruaru;Caruaru;260410;65566;778
Linhares;Linhares;320320;64717;518
Jaraguá do Sul;Jaraguá do Sul;420890;64009;477
Cachoeiro de Itapemirim;Cachoeiro de Itapemirim;320120;61561;756
Várzea Grande;Várzea Grande;510840;60950;1536
Rio Grande;Rio Grande;431560;59268;722
Macaé;Macaé;330240;59133;939
São José;São José;421660;58743;688
Jaboatão dos Guararapes;Jaboatão dos Guararapes;260790;57728;1882
Campos dos Goytacazes;Campos dos Goytacazes;330100;57576;2380
Novo Hamburgo;Novo Hamburgo;431340;57420;1134
Petrolina;Petrolina;261110;57010;610
Botucatu;Botucatu;350750;56500;402
Betim;Betim;310670;56481;1487
Governador Valadares;Governador Valadares;312770;56400;1538
Criciúma;Criciúma;420460;56319;744
Dourados;Dourados;500370;56201;771
Mogi das Cruzes;Mogi das Cruzes;353060;54643;1915
Araguaína;Araguaína;170210;53603;617
Colatina;Colatina;320150;53021;416
Ipatinga;Ipatinga;313130;52969;1005
Belford Roxo;Belford Roxo;330045;52875;1031
Vitória da Conquista;Vitória da Conquista;293330;52427;756
São Leopoldo;São Leopoldo;431870;50118;907
Toledo;Toledo;412770;49847;509
Olinda;Olinda;260960;49780;1136
Bragança Paulista;Bragança Paulista;350760;49435;655
Barra Mansa;Barra Mansa;330040;49356;771
Santa Cruz do Sul;Santa Cruz do Sul;431680;49337;416
Colombo;Colombo;410580;49186;914
Osasco;Osasco;353440;49136;3186
Araçatuba;Araçatuba;350280;49034;1028
Barueri;Barueri;350570;48863;1274
Juazeiro do Norte;Juazeiro do Norte;230730;48403;768
Sete Lagoas;Sete Lagoas;316720;48036;731
Parnamirim;Parnamirim;240325;47516;659
Araucária;Araucária;410180;47343;592
Brusque;Brusque;420290;47302;366
Nova Friburgo;Nova Friburgo;330340;46093;1024
Palhoça;Palhoça;421190;46088;427
Divinópolis;Divinópolis;312230;46006;768
Pouso Alegre;Pouso Alegre;315250;45939;514
Itabuna;Itabuna;291480;45742;815
Mossoró;Mossoró;240800;45557;714
Santarém;Santarém;150680;44781;1405
Rondonópolis;Rondonópolis;510760;44588;1005
Senador Canedo;Senador Canedo;522045;43969;474
Limeira;Limeira;352690;43907;1312
Lages;Lages;420930;43627;618
Marília;Marília;352900;43473;1185
Presidente Prudente;Presidente Prudente;354140;43399;1090
Carapicuíba;Carapicuíba;351060;43177;1310
Sobral;Sobral;231290;42976;780
Araxá;Araxá;310400;42936;316
Guarapuava;Guarapuava;410940;42508;699
Pinhais;Pinhais;411915;42320;641
Arapiraca;Arapiraca;270030;42233;595
Teresópolis;Teresópolis;330580;42025;1045
Gravataí;Gravataí;430920;41976;1118
Sumaré;Sumaré;355240;41922;1008
Ituiutaba;Ituiutaba;313420;41848;549
Duque de Caxias;Duque de Caxias;330170;41797;1960
Alvorada;Alvorada;430060;41597;937
Aracruz;Aracruz;320060;41332;288
Bento Gonçalves;Bento Gonçalves;430210;41171;505
Sinop;Sinop;510790;41167;513
Hortolândia;Hortolândia;351907;40587;897
Viamão;Viamão;432300;40399;872
Patos de Minas;Patos de Minas;314800;40333;679
Mogi Guaçu;Mogi Guaçu;353070;39778;722
Umuarama;Umuarama;412810;39648;398
Catanduva;Catanduva;351110;39524;740
Pindamonhangaba;Pindamonhangaba;353800;39306;599
Franca;Franca;351620;39287;1325
São Mateus;São Mateus;320490;39012;367
Taubaté;Taubaté;355410;38989;1205
Balneário Camboriú;Balneário Camboriú;420200;38929;511
Nova Lima;Nova Lima;314480;38913;288
Itu;Itu;352390;38749;600
São Caetano do Sul;São Caetano do Sul;354880;38731;1186
Mauá;Mauá;352940;38600;1704
Santa Bárbara d'Oeste;Santa Bárbara d'Oeste;354580;38077;916
Caraguatatuba;Caraguatatuba;351050;37901;547
Ariquemes;Ariquemes;110002;37585;568
Campo Largo;Campo Largo;410420;37193;524
Ji-Paraná;Ji-Paraná;110012;37065;671
Trindade;Trindade;522140;36978;612
São Carlos;São Carlos;354890;36816;645
Varginha;Varginha;317070;36714;451
Valparaíso de Goiás;Valparaíso de Goiás;522185;36307;453
Camaçari;Camaçari;290570;35705;702
Caucaia;Caucaia;230370;35635;1085
Sapucaia do Sul;Sapucaia do Sul;432000;35488;650
Itabira;Itabira;313170;35443;423
Ananindeua;Ananindeua;150080;35411;883
Francisco Beltrão;Francisco Beltrão;410840;35243;316
Araguari;Araguari;310350;35030;544
Paranaguá;Paranaguá;411820;35020;691
Santana;Santana;160060;34749;227
Poços de Caldas;Poços de Caldas;315180;34539;615
Lauro de Freitas;Lauro de Freitas;291920;34027;594
Maracanaú;Maracanaú;230765;33927;879
Tubarão;Tubarão;421870;33720;558
Garanhuns;Garanhuns;260600;33635;354
Resende;Resende;330420;33521;596
Três Lagoas;Três Lagoas;500830;33484;563
Guarapari;Guarapari;320240;33444;535
Votuporanga;Votuporanga;355710;33420;511
Campo Mourão;Campo Mourão;410430;33005;400
Lavras;Lavras;313820;32960;216
Itaquaquecetuba;Itaquaquecetuba;352310;32752;1171
São João de Meriti;São João de Meriti;330510;32604;1512
Barretos;Barretos;350550;32318;651
Praia Grande;Praia Grande;354100;32280;1384
Bagé;Bagé;430160;32220;373
Ijuí;Ijuí;431020;32151;313
Guarujá;Guarujá;351870;32090;1566
Ribeirão das Neves;Ribeirão das Neves;315460;32060;954
Birigui;Birigui;350650;32046;657
Cabo Frio;Cabo Frio;330070;31993;1070
Telêmaco Borba;Telêmaco Borba;412710;31987;420
Cacoal;Cacoal;110004;31861;358
Diadema;Diadema;351380;31818;1587
Jataí;Jataí;521190;31692;453
São Vicente;São Vicente;355100;31468;1470
Itaboraí;Itaboraí;330190;31170;1044
Jacareí;Jacareí;352440;31144;925
Rio das Ostras;Rio das Ostras;330452;31000;586
Uruguaiana;Uruguaiana;432240;30994;513
Arapongas;Arapongas;410150;30858;667
Cotia;Cotia;351300;30466;817
Passos;Passos;314790;30357;409
Imperatriz;Imperatriz;210530;30348;923
Cachoeirinha;Cachoeirinha;430310;30266;554
Suzano;Suzano;355250;30198;1055
Tangará da Serra;Tangará da Serra;510795;30192;402
Pato Branco;Pato Branco;411850;30155;331
Mineiros;Mineiros;521310;30131;307
Itatiba;Itatiba;352340;29772;390
Juazeiro;Juazeiro;291840;29699;497
Itaperuna;Itaperuna;330220;29574;315
Unaí;Unaí;317040;29367;322
Lucas do Rio Verde;Lucas do Rio Verde;510525;29284;225
Esteio;Esteio;430770;29217;425
Concórdia;Concórdia;420430;29105;246
Catalão;Catalão;520510;28667;472
Indaiatuba;Indaiatuba;352050;28608;895
Itumbiara;Itumbiara;521150;28599;533
Crato;Crato;230420;28393;273
Erechim;Erechim;430700;28372;240
Americana;Americana;350160;28367;1020
Angra dos Reis;Angra dos Reis;330010;28097;621
Santana de Parnaíba;Santana de Parnaíba;354730;28060;449
Teixeira de Freitas;Teixeira de Freitas;293135;27987;395
Paranavaí;Paranavaí;411840;27943;355
Fazenda Rio Grande;Fazenda Rio Grande;410765;27748;506
Ubá;Ubá;316990;27662;378
Ourinhos;Ourinhos;353470;27649;600
Maricá;Maricá;330270;27596;832
Conselheiro Lafaiete;Conselheiro Lafaiete;311830;27447;331
Ilhéus;Ilhéus;291360;27337;651
Santa Rosa;Santa Rosa;431720;27323;240
Lajeado;Lajeado;431140;27145;251
Sorriso;Sorriso;510792;27135;255
Barreiras;Barreiras;290320;26944;357
Primavera do Leste;Primavera do Leste;510704;26906;356
Marabá;Marabá;150420;26820;547
Sarandi;Sarandi;412625;26784;388
Assis;Assis;350400;26721;484
Gurupi;Gurupi;170950;26659;298
Mogi Mirim;Mogi Mirim;353080;26349;433
Salto;Salto;354520;26238;537
Paulínia;Paulínia;353650;26202;351
Cambé;Cambé;410370;26119;434
Lençóis Paulista;Lençóis Paulista;352680;26005;212
Valinhos;Valinhos;355620;25975;556
São João da Boa Vista;São João da Boa Vista;354910;25959;391
Formiga;Formiga;312610;25729;339
Vilhena;Vilhena;110030;25602;333
Altamira;Altamira;150060;25484;364
Itajubá;Itajubá;313240;25378;492
Alfenas;Alfenas;310160;25258;258
Jequié;Jequié;291800;25145;441
Itaúna;Itaúna;313380;25012;314
Itapema;Itapema;420830;25000;294
Cachoeira do Sul;Cachoeira do Sul;430300;24988;248
Caldas Novas;Caldas Novas;520450;24895;365
Jaú;Jaú;352530;24599;620
Goianésia;Goianésia;520860;24503;323
Sapiranga;Sapiranga;431990;23797;371
Parnaíba;Parnaíba;220770;23783;517
Itapeva;Itapeva;352240;23675;478
Apucarana;Apucarana;410140;23623;586
Cruz Alta;Cruz Alta;430610;23589;279
Viana;Viana;320510;23366;315
Cianorte;Cianorte;410550;23131;223
Patos;Patos;251080;22817;301
Corumbá;Corumbá;500320;22748;525
Paulista;Paulista;261070;22487;930
Cáceres;Cáceres;510250;22411;495
Capão da Canoa;Capão da Canoa;430463;22395;265
Leme;Leme;352670;22356;479
Magé;Magé;330250;22342;748
Piraquara;Piraquara;411950;22316;355
Nossa Senhora do Socorro;Nossa Senhora do Socorro;280480;22294;610
Tatuí;Tatuí;355400;22203;535
Itaguaí;Itaguaí;330200;22150;444
Camboriú;Camboriú;420320;22128;221
Carazinho;Carazinho;430470;22094;320
Sant'Ana do Livramento;Sant'Ana do Livramento;431710;21956;241
Coronel Fabriciano;Coronel Fabriciano;311940;21782;389
Redenção;Redenção;150613;21631;303
Serra Talhada;Serra Talhada;261390;21444;208
Inhumas;Inhumas;521000;21423;297
Três Corações;Três Corações;316930;21409;315
Osório;Osório;431350;21268;209
Caicó;Caicó;240200;21235;202
Alegrete;Alegrete;430040;21169;333
Santo Antônio de Jesus;Santo Antônio de Jesus;292870;21140;195
São João del Rei;São João del Rei;316250;21110;270
Santo Ângelo;Santo Ângelo;431750;21098;340
Campo Bom;Campo Bom;430390;21090;297
Barbacena;Barbacena;310560;20764;378
Penápolis;Penápolis;353730;20725;327
Morrinhos;Morrinhos;521380;20718;195
São Gabriel;São Gabriel;431830;20619;359
Alagoinhas;Alagoinhas;290070;20592;373
Pirassununga;Pirassununga;353930;20530;317
Porto Seguro;Porto Seguro;292530;20529;300
Araras;Araras;350330;20506;467
Montenegro;Montenegro;431240;20495;199
Santa Luzia;Santa Luzia;315780;20359;595
Farroupilha;Farroupilha;430790;20344;220
Itabirito;Itabirito;313190;20339;186
Sertãozinho;Sertãozinho;355170;20313;573
Luís Eduardo Magalhães;Luís Eduardo Magalhães;291955;20231;162
Castro;Castro;410490;20221;277
Teófilo Otoni;Teófilo Otoni;316860;20189;382
Taboão da Serra;Taboão da Serra;355280;19999;1053
Araranguá;Araranguá;420140;19998;286
Cabo de Santo Agostinho;Cabo de Santo Agostinho;260290;19981;566
Venâncio Aires;Venâncio Aires;432260;19949;157
Maranguape;Maranguape;230770;19896;297
Videira;Videira;421930;19828;142
Extrema;Extrema;312510;19781;148
Viçosa;Viçosa;317130;19739;166
Pará de Minas;Pará de Minas;314710;19464;304
Cajazeiras;Cajazeiras;250370;19386;195
Fernandópolis;Fernandópolis;351550;19286;427
Irati;Irati;411070;19239;220
Caxias;Caxias;210300;19237;372
São Borja;São Borja;431800;19216;292
Almirante Tamandaré;Almirante Tamandaré;410040;18993;509
Guaíba;Guaíba;430930;18986;412
Iguatu;Iguatu;230550;18957;254
Vinhedo;Vinhedo;355670;18919;255
Russas;Russas;231180;18878;235
Salgueiro;Salgueiro;261220;18788;133
Franco da Rocha;Franco da Rocha;351640;18683;445
Alta Floresta;Alta Floresta;510025;18588;193
Formosa;Formosa;520800;18560;341
Castanhal;Castanhal;150240;18512;582
Guaxupé;Guaxupé;312870;18437;200
Eusébio;Eusébio;230428;18382;155
Barra do Garças;Barra do Garças;510180;18371;411
Indaial;Indaial;420750;18358;158
Frutal;Frutal;312710;18352;318
Muriaé;Muriaé;314390;18347;383
Crateús;Crateús;230410;18333;244
Mariana;Mariana;314000;18307;120
Itapetininga;Itapetininga;352230;18290;617
Timóteo;Timóteo;316870;18139;370
Campo Belo;Campo Belo;311120;18136;254
Jaraguá;Jaraguá;521180;18058;233
Biguaçu;Biguaçu;420230;18054;191
Navegantes;Navegantes;421130;18035;249
Itapira;Itapira;352260;18032;378
Eunápolis;Eunápolis;291072;17986;267
Patrocínio;Patrocínio;314810;17984;279
Cubatão;Cubatão;351350;17829;551
Itacoatiara;Itacoatiara;130190;17773;338
Tramandaí;Tramandaí;432160;17686;266
São Gabriel da Palha;São Gabriel da Palha;320470;17609;98
Porto Ferreira;Porto Ferreira;354070;17550;219
Paracatu;Paracatu;314700;17487;298
Balsas;Balsas;210140;17458;249
Guanambi;Guanambi;291170;17421;161
Guaratinguetá;Guaratinguetá;351840;17407;393
Rolândia;Rolândia;412240;17391;312
Gaspar;Gaspar;420590;17381;221
Cruzeiro do Sul;Cruzeiro do Sul;120020;17377;188
Ibirité;Ibirité;312980;17255;458
Itaituba;Itaituba;150360;17235;409
Nova Venécia;Nova Venécia;320390;17188;161
João Monlevade;João Monlevade;313620;17150;285
São Bento do Sul;São Bento do Sul;421580;17055;228
Porto Nacional;Porto Nacional;171820;16852;224
Rio do Sul;Rio do Sul;421480;16844;162
Caçapava;Caçapava;350850;16796;333
Cataguases;Cataguases;311530;16702;300
Cornélio Procópio;Cornélio Procópio;410640;16666;201
Gramado;Gramado;430910;16645;167
Itabaiana;Itabaiana;280290;16610;265
Jales;Jales;352480;16581;318
Nova Mutum;Nova Mutum;510622;16433;159
Águas Lindas de Goiás;Águas Lindas de Goiás;520025;16359;403
Marau;Marau;431180;16315;129
Santo Antônio da Platina;Santo Antônio da Platina;412410;16264;181
Itapipoca;Itapipoca;230640;16258;310
Ponta Porã;Ponta Porã;500660;16217;402
Vacaria;Vacaria;432250;16138;240
Quixadá;Quixadá;231130;16119;216
Andradina;Andradina;350210;15970;320
Santiago;Santiago;431740;15967;192
Paulo Afonso;Paulo Afonso;292400;15924;260
Piripiri;Piripiri;220840;15906;228
Ibitinga;Ibitinga;351960;15900;311
Parobé;Parobé;431405;15871;262
Paraíso do Tocantins;Paraíso do Tocantins;171610;15811;213
Avaré;Avaré;350450;15791;334
Francisco Morato;Francisco Morato;351630;15771;480
Camaquã;Camaquã;430350;15734;194
Cerquilho;Cerquilho;351150;15713;175
Irecê;Irecê;291460;15686;171
Lagoa da Prata;Lagoa da Prata;313720;15541;185
Barcarena;Barcarena;150130;15442;262
São Sebastião do Paraíso;São Sebastião do Paraíso;316470;15438;337
Sabará;Sabará;315670;15394;278
Olímpia;Olímpia;353390;15385;319
Paragominas;Paragominas;150550;15366;267
Três Rios;Três Rios;330600;15296;319
Novo Gama;Novo Gama;521523;15171;244
União da Vitória;União da Vitória;412820;15169;168
São Lourenço;São Lourenço;316370;15155;185
Cabedelo;Cabedelo;250320;15114;224
Mococa;Mococa;353050;15070;298
Castelo;Castelo;320140;15069;153
Rio Bonito;Rio Bonito;330430;15006;289
Marataízes;Marataízes;320332;14988;250
Marialva;Marialva;411480;14975;158
Ibiporã;Ibiporã;410980;14926;240
Vitória de Santo Antão;Vitória de Santo Antão;261640;14866;373
Taquaritinga;Taquaritinga;355370;14812;251
Torres;Torres;432150;14812;127
Várzea Paulista;Várzea Paulista;355650;14801;314
Itápolis;Itápolis;352270;14780;188
Panambi;Panambi;431390;14747;142
Camaragibe;Camaragibe;260345;14673;479
Aracati;Aracati;230110;14659;185
Tauá;Tauá;231330;14652;213
Espírito Santo do Pinhal;Espírito Santo do Pinhal;351518;14652;144
Santa Maria de Jetibá;Santa Maria de Jetibá;320455;14637;80
Quixeramobim;Quixeramobim;231140;14622;261
Rolim de Moura;Rolim de Moura;110028;14609;213
Picos;Picos;220800;14580;195
Lins;Lins;352710;14564;344
Medianeira;Medianeira;411580;14524;155
Ribeirão Pires;Ribeirão Pires;354330;14519;404
Tianguá;Tianguá;231340;14483;210
Porto Feliz;Porto Feliz;354060;14439;192
Xanxerê;Xanxerê;421950;14432;206
Caieiras;Caieiras;350900;14353;368
São Gonçalo do Amarante;São Gonçalo do Amarante;231240;14288;242
Iranduba;Iranduba;130185;14236;178
Pontes e Lacerda;Pontes e Lacerda;510675;14190;259
Caratinga;Caratinga;311340;14155;334
Bayeux;Bayeux;250180;14127;273
Itanhaém;Itanhaém;352210;14114;420
Palmas;Palmas;411760;14078;178
Tefé;Tefé;130420;14076;205
Jaru;Jaru;110011;14016;210
Goiatuba;Goiatuba;520910;14006;189
Rio Claro;Rio Claro;354390;13994;731
Buritis;Buritis;110045;13993;107
Uruaçu;Uruaçu;522160;13979;173
Leopoldina;Leopoldina;313840;13967;215
Naviraí;Naviraí;500570;13915;279
Guaratuba;Guaratuba;410960;13799;210
Santa Rita;Santa Rita;251370;13754;391
Lagoa Santa;Lagoa Santa;313760;13744;153
Vespasiano;Vespasiano;317120;13731;246
Santa Cruz do Capibaribe;Santa Cruz do Capibaribe;261250;13706;187
Marechal Cândido Rondon;Marechal Cândido Rondon;411460;13659;192
Timbó;Timbó;421820;13658;110
Jacarezinho;Jacarezinho;411180;13656;145
Pimenta Bueno;Pimenta Bueno;110018;13651;132
Iturama;Iturama;313440;13593;268
Guarabira;Guarabira;250630;13554;157
Braço do Norte;Braço do Norte;420280;13549;122
Dois Vizinhos;Dois Vizinhos;410720;13531;109
Barra do Piraí;Barra do Piraí;330030;13481;461
Atibaia;Atibaia;350410;13444;512
São Luís de Montes Belos;São Luís de Montes Belos;522010;13402;198
Limoeiro do Norte;Limoeiro do Norte;230760;13357;171
Estância Velha;Estância Velha;430760;13292;163
Campos do Jordão;Campos do Jordão;350970;13274;164
São Gabriel da Cachoeira;São Gabriel da Cachoeira;130380;13244;113
Cascavel;Cascavel;230350;13218;174
São Cristóvão;São Cristóvão;280670;13218;260
Pirapora;Pirapora;315120;13203;117
Monte Carmelo;Monte Carmelo;314310;13199;217
Bom Despacho;Bom Despacho;310740;13198;145
Registro;Registro;354260;13194;256
Barbalha;Barbalha;230190;13138;216
Três Pontas;Três Pontas;316940;13138;191
Itapevi;Itapevi;352250;13108;784
Barra de São Francisco;Barra de São Francisco;320090;13098;268
Itapecerica da Serra;Itapecerica da Serra;352220;13088;502
Abaetetuba;Abaetetuba;150010;13083;244
Ubatuba;Ubatuba;355540;13027;160
Gravatá;Gravatá;260640;13004;169
Brejo Santo;Brejo Santo;230250;12937;159
Arcoverde;Arcoverde;260120;12917;150
Machadinho D'Oeste;Machadinho D'Oeste;110013;12906;132
Colíder;Colíder;510320;12896;169
Oriximiná;Oriximiná;150530;12879;224
Manacapuru;Manacapuru;130250;12874;421
Arujá;Arujá;350390;12861;366
Ouro Preto;Ouro Preto;314610;12850;149
Canela;Canela;430440;12844;217
Itaberaí;Itaberaí;521040;12835;193
Valença;Valença;330610;12797;251
Congonhas;Congonhas;311800;12755;119
Lapa;Lapa;411320;12711;155
Saquarema;Saquarema;330550;12605;417
Votorantim;Votorantim;355700;12599;579
Parintins;Parintins;130340;12579;360
Maracaju;Maracaju;500540;12577;123
Poá;Poá;353980;12545;444
Campo Novo do Parecis;Campo Novo do Parecis;510263;12525;106
Garça;Garça;351670;12512;173
Santa Inês;Santa Inês;210990;12479;226
Goiana;Goiana;260620;12475;176
Peruíbe;Peruíbe;353760;12440;309
Domingos Martins;Domingos Martins;320190;12427;98
Araripina;Araripina;260110;12425;182
Jaguariúna;Jaguariúna;352470;12409;202
São Gonçalo do Amarante;São Gonçalo do Amarante;241200;12333;266
Imbituba;Imbituba;420730;12322;127
Louveira;Louveira;352730;12308;132
Cametá;Cametá;150210;12281;320
Garibaldi;Garibaldi;430860;12241;92
Santo Antônio de Pádua;Santo Antônio de Pádua;330470;12200;174
Anchieta;Anchieta;320040;12196;119
Macaíba;Macaíba;240710;12176;191
Dracena;Dracena;351440;12139;307
Humaitá;Humaitá;130170;12077;160
Simões Filho;Simões Filho;293070;12065;287
Morada Nova;Morada Nova;230870;12027;214
Brumado;Brumado;290460;12023;211
Santa Teresa;Santa Teresa;320460;12009;82
Pedro Leopoldo;Pedro Leopoldo;314930;12006;226
Aquiraz;Aquiraz;230100;11979;110
Paraíba do Sul;Paraíba do Sul;330370;11972;192
Tailândia;Tailândia;150795;11962;133
Serrana;Serrana;355150;11956;151
Içara;Içara;420700;11949;156
Serrinha;Serrinha;293050;11948;116
Valença;Valença;293290;11941;160
Coari;Coari;130120;11939;249
Canoinhas;Canoinhas;420380;11915;143
Eldorado do Sul;Eldorado do Sul;430676;11874;159
Taquara;Taquara;432120;11820;206
Beberibe;Beberibe;230220;11812;145
São Francisco do Sul;São Francisco do Sul;421620;11787;212
Horizonte;Horizonte;230523;11750;150
Palmeiras de Goiás;Palmeiras de Goiás;521570;11738;102
Bertioga;Bertioga;350635;11712;202
Adamantina;Adamantina;350010;11640;191
Joaçaba;Joaçaba;420900;11630;89
Quirinópolis;Quirinópolis;521850;11590;228
Mandaguari;Mandaguari;411420;11561;144
Campina Grande do Sul;Campina Grande do Sul;410400;11555;182
Canaã dos Carajás;Canaã dos Carajás;150215;11470;138
Bacabal;Bacabal;210120;11419;238
Tijucas;Tijucas;421800;11400;105
Araruama;Araruama;330020;11379;527
Nova Odessa;Nova Odessa;353340;11373;284
Tucuruí;Tucuruí;150810;11366;289
Goiás;Goiás;520890;11363;101
Candeias;Candeias;290650;11329;211
Manhuaçu;Manhuaçu;313940;11319;265
Embu-Guaçu;Embu-Guaçu;351510;11308;758
Piumhi;Piumhi;315150;11291;146
Seropédica;Seropédica;330555;11286;247
Conceição do Coité;Conceição do Coité;290840;11254;59
Laranjal do Jari;Laranjal do Jari;160027;11195;97
Mafra;Mafra;421010;11183;156
Pacatuba;Pacatuba;230970;11181;278
Palotina;Palotina;411790;11164;105
Baixo Guandu;Baixo Guandu;320080;11163;108
Itapemirim;Itapemirim;320280;11130;181
Frederico Westphalen;Frederico Westphalen;430850;11087;93
Monte Alto;Monte Alto;353130;11086;227
Floriano;Floriano;220390;11085;187
Paiçandu;Paiçandu;411750;11065;161
Laguna;Laguna;420940;11037;186
Apodi;Apodi;240100;11035;118
Machado;Machado;313900;11035;118
Pontal do Paraná;Pontal do Paraná;411995;11010;147
Canguçu;Canguçu;430450;10999;137
Queimados;Queimados;330414;10978;269
Curitibanos;Curitibanos;420480;10975;214
Itararé;Itararé;352320;10971;278
Ponte Nova;Ponte Nova;315210;10939;228
Soledade;Soledade;432080;10937;110
Campo Limpo Paulista;Campo Limpo Paulista;350960;10923;318
Dom Pedrito;Dom Pedrito;430660;10911;131
Açu;Açu;240020;10869;179
Santo Antônio da Patrulha;Santo Antônio da Patrulha;431760;10851;178
Niquelândia;Niquelândia;521460;10831;115
Itaqui;Itaqui;431060;10825;73
Monte Alegre;Monte Alegre;150480;10786;217
Ferraz de Vasconcelos;Ferraz de Vasconcelos;351570;10779;533
Guaramirim;Guaramirim;420650;10777;113
São Pedro;São Pedro;355040;10732;126
Pomerode;Pomerode;421320;10725;87
Diamantina;Diamantina;312160;10716;108
Pombal;Pombal;251210;10710;92
Amparo;Amparo;350190;10656;265
Pitanga;Pitanga;411960;10653;65
Colinas do Tocantins;Colinas do Tocantins;170550;10606;165
Belo Jardim;Belo Jardim;260170;10606;141
Mirassol;Mirassol;353030;10588;330
São Pedro da Aldeia;São Pedro da Aldeia;330520;10573;356
Sacramento;Sacramento;315690;10534;91
Cidade Ocidental;Cidade Ocidental;520549;10527;198
Capão Bonito;Capão Bonito;351020;10526;183
Icó;Icó;230540;10515;143
Janaúba;Janaúba;313510;10434;157
Matinhos;Matinhos;411570;10424;172
Itapuranga;Itapuranga;521120;10407;99
Pederneiras;Pederneiras;353670;10395;145
Promissão;Promissão;354160;10394;131
Iporá;Iporá;521020;10383;174
Afogados da Ingazeira;Afogados da Ingazeira;260010;10379;82
São Miguel do Oeste;São Miguel do Oeste;421720;10329;87
Carpina;Carpina;260400;10312;164
Campo Verde;Campo Verde;510267;10296;156
Pirenópolis;Pirenópolis;521730;10274;78
Paraguaçu Paulista;Paraguaçu Paulista;353550;10257;177
Caçador;Caçador;420300;10161;342
Prudentópolis;Prudentópolis;412060;10153;143
Mateus Leme;Mateus Leme;314070;10152;105
Arcos;Arcos;310420;10137;165
Guararapes;Guararapes;351820;10124;137
Nova Petrópolis;Nova Petrópolis;431320;10123;102
São Lourenço do Sul;São Lourenço do Sul;431880;10122;112
Lagarto;Lagarto;280350;10120;248
Osvaldo Cruz;Osvaldo Cruz;353460;10112;142
Bandeirantes;Bandeirantes;410240;10072;169
