_id;nome;cod;casosAcumulado;obitosAcumulado
Santa Cruz de Minas;Santa Cruz de Minas;315733;2469;25
Uruoca;Uruoca;231390;2468;32
São João Batista do Glória;São João Batista do Glória;316220;2467;35
Touros;Touros;241440;2466;37
Brasilândia;Brasilândia;500230;2462;28
Santo Antônio do Leverger;Santo Antônio do Leverger;510780;2461;69
Condor;Condor;430570;2460;11
Orindiúva;Orindiúva;353420;2457;20
Água Doce;Água Doce;420040;2455;20
Catunda;Catunda;230365;2454;21
Igaratá;Igaratá;352020;2452;42
Igaratinga;Igaratinga;313020;2451;17
Buriti Bravo;Buriti Bravo;210230;2450;21
Apuí;Apuí;130014;2449;36
Belém do São Francisco;Belém do São Francisco;260160;2448;25
Girau do Ponciano;Girau do Ponciano;270290;2445;54
Porto Esperidião;Porto Esperidião;510682;2442;65
Delta;Delta;312125;2440;34
Pitimbu;Pitimbu;251190;2437;25
Santa Albertina;Santa Albertina;354570;2435;29
Itá;Itá;420800;2435;31
Planalto;Planalto;292500;2434;47
Rio Grande da Serra;Rio Grande da Serra;354410;2434;110
Porto dos Gaúchos;Porto dos Gaúchos;510680;2434;13
Volta Grande;Volta Grande;317210;2433;17
Verê;Verê;412860;2430;29
Serranópolis;Serranópolis;522050;2428;17
Angélica;Angélica;500085;2426;25
Caravelas;Caravelas;290690;2425;18
Marcelândia;Marcelândia;510558;2424;49
Paulo Lopes;Paulo Lopes;421230;2418;18
Gaúcha do Norte;Gaúcha do Norte;510385;2417;31
Pescaria Brava;Pescaria Brava;421265;2415;28
Alto Alegre dos Parecis;Alto Alegre dos Parecis;110037;2413;52
Mojuí dos Campos;Mojuí dos Campos;150475;2413;35
Tuparendi;Tuparendi;432230;2413;22
Careiro da Várzea;Careiro da Várzea;130115;2409;28
Irauçuba;Irauçuba;230610;2409;48
Corrente;Corrente;220290;2405;38
Cacaulândia;Cacaulândia;110060;2403;17
Campo Erê;Campo Erê;420350;2403;24
Maraú;Maraú;292070;2398;22
Conquista;Conquista;311820;2396;21
Tapauá;Tapauá;130410;2395;26
Caroebe;Caroebe;140023;2395;21
Monte Azul Paulista;Monte Azul Paulista;353150;2395;31
João Dourado;João Dourado;291835;2392;61
Tanhaçu;Tanhaçu;293100;2392;34
Califórnia;Califórnia;410350;2392;42
Mallet;Mallet;411390;2391;16
Areiópolis;Areiópolis;350360;2387;33
São Tiago;São Tiago;316500;2386;20
Curaçá;Curaçá;290990;2385;41
Peixe;Peixe;171660;2383;23
Araripe;Araripe;230130;2383;32
Tiradentes;Tiradentes;316880;2383;24
Capela de Santana;Capela de Santana;430468;2383;32
Agrolândia;Agrolândia;420020;2379;35
Wenceslau Guimarães;Wenceslau Guimarães;293350;2373;34
Piraúba;Piraúba;315130;2373;34
São Mateus do Maranhão;São Mateus do Maranhão;211150;2370;54
Paranacity;Paranacity;411810;2370;30
Passira;Passira;261050;2368;60
Glória de Dourados;Glória de Dourados;500400;2367;31
Palmeirópolis;Palmeirópolis;171575;2366;29
Montalvânia;Montalvânia;314270;2365;24
Paripiranga;Paripiranga;292380;2361;36
Vera Cruz;Vera Cruz;241480;2360;29
Antônio Carlos;Antônio Carlos;310290;2360;24
Entre Rios de Minas;Entre Rios de Minas;312390;2360;29
Nhamundá;Nhamundá;130300;2359;42
Igaci;Igaci;270310;2359;39
Santa Rosa do Sul;Santa Rosa do Sul;421565;2359;31
Ascurra;Ascurra;420170;2356;14
Mãe do Rio;Mãe do Rio;150405;2353;84
Ibirapitanga;Ibirapitanga;291270;2353;47
Porto Murtinho;Porto Murtinho;500690;2352;41
Cajobi;Cajobi;350930;2351;38
Jardim do Seridó;Jardim do Seridó;240570;2349;27
Italva;Italva;330205;2349;38
Siderópolis;Siderópolis;421760;2347;51
Kaloré;Kaloré;411310;2346;31
Santa Maria do Oeste;Santa Maria do Oeste;412385;2346;31
Nova Esperança do Sul;Nova Esperança do Sul;431303;2346;13
Santo Antônio do Içá;Santo Antônio do Içá;130370;2345;50
Igreja Nova;Igreja Nova;270320;2345;24
Governador Eugênio Barros;Governador Eugênio Barros;210460;2342;11
Quiterianópolis;Quiterianópolis;231126;2342;55
Aruanã;Aruanã;520250;2339;25
Corumbiara;Corumbiara;110007;2338;25
Raposa;Raposa;210945;2337;49
Sítio Novo;Sítio Novo;211180;2336;32
Palhano;Palhano;231000;2336;26
Cambuquira;Cambuquira;311070;2334;42
Cerro Azul;Cerro Azul;410520;2332;57
São João do Sabugi;São João do Sabugi;241210;2331;15
Casca;Casca;430490;2330;23
Carnaubeira da Penha;Carnaubeira da Penha;260392;2329;12
Itatiaiuçu;Itatiaiuçu;313370;2328;36
Chapada Gaúcha;Chapada Gaúcha;311615;2325;23
Canelinha;Canelinha;420370;2323;21
Dom Pedro;Dom Pedro;210380;2322;41
Porteirão;Porteirão;521805;2322;22
Tibau do Sul;Tibau do Sul;241420;2320;18
Santa Fé de Goiás;Santa Fé de Goiás;521925;2320;24
Serro;Serro;316710;2319;24
Frei Miguelinho;Frei Miguelinho;260580;2318;28
Presidente Tancredo Neves;Presidente Tancredo Neves;292575;2318;46
Guiricema;Guiricema;312900;2317;42
Jussara;Jussara;411300;2316;15
Lagoa Grande;Lagoa Grande;313753;2315;35
Guajará;Guajará;130165;2313;31
Alterosa;Alterosa;310200;2312;45
Presidente Getúlio;Presidente Getúlio;421400;2312;42
Silves;Silves;130400;2311;22
Nova Olinda;Nova Olinda;230920;2310;24
Itauçu;Itauçu;521140;2310;41
Rianápolis;Rianápolis;521870;2309;17
Cocos;Cocos;290810;2308;25
Coração de Jesus;Coração de Jesus;311880;2308;25
Capoeiras;Capoeiras;260380;2307;28
Limoeiro de Anadia;Limoeiro de Anadia;270420;2307;36
Miguel Alves;Miguel Alves;220620;2305;40
Moraújo;Moraújo;230880;2305;23
Ubaíra;Ubaíra;293210;2303;34
Duartina;Duartina;351450;2303;35
Mirandópolis;Mirandópolis;353010;2302;120
Itanhomi;Itanhomi;313320;2301;34
Frei Paulo;Frei Paulo;280230;2299;36
Piratininga;Piratininga;353940;2297;51
Teixeiras;Teixeiras;316850;2291;34
Pimenta;Pimenta;315050;2288;23
Coelho Neto;Coelho Neto;210340;2287;52
Atalaia;Atalaia;270040;2286;62
São João do Triunfo;São João do Triunfo;412510;2286;10
Divinolândia;Divinolândia;351390;2285;49
Assis Brasil;Assis Brasil;120005;2284;26
Ipê;Ipê;431043;2284;17
Ilha de Itamaracá;Ilha de Itamaracá;260760;2282;37
Planalto;Planalto;411980;2282;26
Cansanção;Cansanção;290680;2281;48
Cravinhos;Cravinhos;351310;2281;118
Jóia;Jóia;431115;2281;25
Ferreira Gomes;Ferreira Gomes;160023;2280;7
Catende;Catende;260420;2279;77
Rio Negro;Rio Negro;412230;2279;75
Planalto;Planalto;431470;2277;28
Aratuba;Aratuba;230140;2275;15
Santa Bárbara;Santa Bárbara;292750;2274;28
Condeúba;Condeúba;290870;2272;35
Forquilha;Forquilha;230435;2270;82
São Sebastião;São Sebastião;270880;2270;43
Paraí;Paraí;431400;2270;26
Santo Antônio dos Lopes;Santo Antônio dos Lopes;211030;2269;30
Pilar;Pilar;251150;2269;36
Ituberá;Ituberá;291730;2269;58
Cosmorama;Cosmorama;351290;2269;48
Vera Cruz;Vera Cruz;293320;2268;97
Tuneiras do Oeste;Tuneiras do Oeste;412790;2267;25
Pombos;Pombos;261130;2266;47
Saudades;Saudades;421730;2265;19
Tonantins;Tonantins;130423;2264;42
Abadiânia;Abadiânia;520010;2263;57
Poção de Pedras;Poção de Pedras;210890;2261;23
Lagoa da Canoa;Lagoa da Canoa;270410;2261;26
Nova Lacerda;Nova Lacerda;510618;2261;16
Vera;Vera;510850;2260;37
Salgado;Salgado;280620;2259;48
São Jorge d'Oeste;São Jorge d'Oeste;412520;2259;17
Ararendá;Ararendá;230125;2258;22
Milhã;Milhã;230835;2255;33
Itapirapuã;Itapirapuã;521100;2255;22
Remígio;Remígio;251270;2250;35
Ibiraci;Ibiraci;312970;2250;31
Terra de Areia;Terra de Areia;432143;2249;59
Alto Alegre do Maranhão;Alto Alegre do Maranhão;210043;2247;28
Regente Feijó;Regente Feijó;354240;2247;81
Moreira Sales;Moreira Sales;411610;2246;45
Santa Luzia do Pará;Santa Luzia do Pará;150655;2245;27
Candeias;Candeias;311200;2244;43
Catanduvas;Catanduvas;410500;2244;24
Água Branca;Água Branca;250010;2243;16
Coronel Domingos Soares;Coronel Domingos Soares;410645;2242;22
Maracajá;Maracajá;421040;2239;25
Guaramiranga;Guaramiranga;230510;2237;6
Morrinhos;Morrinhos;230890;2234;41
Lagoa de Itaenga;Lagoa de Itaenga;260850;2233;29
Maquiné;Maquiné;431177;2233;27
Floresta do Araguaia;Floresta do Araguaia;150304;2232;30
Paratinga;Paratinga;292370;2230;37
São João da Baliza;São João da Baliza;140050;2226;15
Novo Cruzeiro;Novo Cruzeiro;314530;2225;38
São Joaquim do Monte;São Joaquim do Monte;261330;2224;44
Augusto Pestana;Augusto Pestana;430150;2223;17
Epitaciolândia;Epitaciolândia;120025;2221;40
Guarda-Mor;Guarda-Mor;312860;2220;14
Orizona;Orizona;521530;2220;39
Bom Jardim;Bom Jardim;210200;2217;58
Aperibé;Aperibé;330015;2217;35
Mendonça;Mendonça;352950;2217;34
Ventania;Ventania;412853;2217;57
Riacho das Almas;Riacho das Almas;261170;2216;38
Juranda;Juranda;411295;2216;35
Turvânia;Turvânia;522150;2214;30
Florânia;Florânia;240380;2213;22
Arealva;Arealva;350340;2212;31
Rubim;Rubim;315660;2211;27
Garrafão do Norte;Garrafão do Norte;150307;2207;15
São Sebastião do Uatumã;São Sebastião do Uatumã;130395;2205;19
Patu;Patu;240930;2204;37
Parnamirim;Parnamirim;261040;2203;39
Santa Tereza do Oeste;Santa Tereza do Oeste;412402;2202;39
Cruzeiro do Sul;Cruzeiro do Sul;430620;2202;43
Rafael Jambeiro;Rafael Jambeiro;292595;2199;32
Abre Campo;Abre Campo;310030;2197;19
Itapicuru;Itapicuru;291650;2193;27
Santa Branca;Santa Branca;354600;2193;37
Itaiçaba;Itaiçaba;230620;2191;29
Águas da Prata;Águas da Prata;350040;2191;40
Cajuru;Cajuru;350940;2191;88
Brasília de Minas;Brasília de Minas;310860;2190;19
Ribeirópolis;Ribeirópolis;280600;2189;37
Parnarama;Parnarama;210780;2187;26
Mirante da Serra;Mirante da Serra;110130;2186;18
Santana do Acaraú;Santana do Acaraú;231200;2186;33
Salvaterra;Salvaterra;150630;2185;32
Ipaba;Ipaba;313115;2185;67
Renascença;Renascença;412160;2185;24
Gavião Peixoto;Gavião Peixoto;351685;2179;24
Perobal;Perobal;411885;2176;11
Massaranduba;Massaranduba;250920;2173;34
Praia Grande;Praia Grande;421380;2171;18
São João;São João;261320;2170;34
Rincão;Rincão;354370;2169;50
Paranapanema;Paranapanema;353580;2168;91
